EpochTime,3.feed_29.PM10_UG_M3,3.feed_29.PM25_UG_M3
1484875800,15.0,9.0
1484879400,15.0,11.0
1484883000,13.0,8.0
1484886600,18.0,12.0
1484890200,17.0,12.0
1484893800,16.0,11.0
1484897400,13.0,9.0
1484901000,10.0,6.0
1484904600,10.0,8.0
1484908200,11.0,7.0
1484911800,10.0,7.0
1484915400,9.0,8.0
1484919000,10.0,8.0
1484922600,9.0,6.0
1484926200,8.0,6.0
1484929800,24.0,16.0
1484933400,27.0,18.0
1484937000,11.0,6.0
1484940600,7.0,5.0
1484944200,7.0,7.0
1484947800,8.0,6.0
1484951400,19.0,13.0
1484955000,17.0,12.0
1484958600,28.0,18.0
1484962200,50.0,30.0
1484965800,42.0,24.0
1484969400,54.0,32.0
1484973000,76.0,48.0
1484976600,96.0,63.0
1484980200,93.0,65.0
1484983800,66.0,48.0
1484987400,121.0,69.0
1484991000,70.0,41.0
1484994600,97.0,59.0
1484998200,107.0,66.0
1485001800,35.0,23.0
1485005400,21.0,14.0
1485009000,33.0,25.0
1485012600,52.0,32.0
1485016200,41.0,24.0
1485019800,16.0,10.0
1485023400,17.0,10.0
1485027000,18.0,9.0
1485030600,15.0,8.0
1485034200,14.0,9.0
1485037800,16.0,9.0
1485041400,19.0,13.0
1485045000,34.0,20.0
1485048600,54.0,30.0
1485052200,51.0,28.0
1485055800,35.0,22.0
1485059400,31.0,21.0
1485063000,23.0,17.0
1485066600,24.0,18.0
1485070200,25.0,19.0
1485073800,42.0,21.0
1485077400,40.0,20.0
1485081000,43.0,19.0
1485084600,24.0,14.0
1485088200,19.0,13.0
1485091800,15.0,12.0
1485095400,20.0,14.0
1485099000,16.0,11.0
1485102600,11.0,6.0
1485106200,8.0,5.0
1485109800,9.0,4.0
1485113400,8.0,5.0
1485117000,11.0,7.0
1485120600,12.0,8.0
1485124200,16.0,12.0
1485127800,14.0,9.0
1485131400,8.0,6.0
